,0
1286,assist disabled individuals to participate in community activities
1287,drive waste collection vehicle
1288,computer science
1289,footwear machinery
1290,liaise with event sponsors
1291,develop calibration procedures
1292,local geography
1293,propagate plants
1294,wildlife projects
1295,advise on waste management procedures
1296,evacuate people from flooded areas
1297,mechanics
1298,evaluate employees
1299,obtain relevant licenses
1300,anodising process
1301,electronic equipment standards
1302,develop flood remediation strategies
1303,share good practices across subsidiaries
1304,check durability of wood materials
1305,promote education course
1306,control production flow remotely
1307,microelectronics
1308,record malting cycle data
1309,spa manager
1310,assess the development of youth
1311,estimate restoration costs
1312,develop an artistic framework
1313,select visitor routes
1314,work ergonomically
1315,repair furniture frames
1316,optics
1317,answer incoming calls
1318,use precision tools
1319,electric drives
1320,police trainer
1321,operate rust proofing spray gun
1322,manage company transport strategy
1323,maintain telephony system
1324,use waterway traffic control systems;
1325,enforce railway safety regulations
1326,measure density of liquids
1327,plan medium to long term objectives
1328,beauty salon manager
1329,develop water supply schedule
1330,quality of fish products
1331,types of ceiling
1332,tend stamping press
1333,advise on soil and water protection
1334,court interpreting
1335,promote inclusion in organisations
1336,outdoor activities instructor
1337,dispose of non-hazardous waste
1338,outsourcing strategy
1339,identify talent
1340,pollution legislation
1341,motor vehicle assembly supervisor
1342,financial markets
1343,control crowd
1344,arrange equipment repairs
1345,automated analysers in the medical laboratory
1346,identify security threats
1347,communicate using non-verbal language
1348,establish vertical gardens
1349,collect client fitness information
1350,conduct quantitative research
1351,interact with the board of directors
1352,legal standards in gambling
1353,create new recipes
1354,handover the food preparation area
1355,crowdsourcing strategy
1356,design questionnaires
1357,computer engineering
1358,remove contaminants
1359,financial management
1360,clean surfaces
1361,create a financial plan
1362,health care system
1363,follow safety procedures when working at heights
1364,food legislation
1365,hairdressing vocational teacher
1366,work in fitness teams
1367,supervise movement of crew
1368,incidents and accidents recording
1369,design landscape schemes
1370,provide social guidance over the phone
1371,footwear industry
1372,liaise with engineers
1373,keep food laboratory inventory
1374,medical laboratory technology vocational teacher
1375,forging processes
1376,influence of winds and currents in the steering of ships
1377,lottery company policies
1378,support social service users at the end of life
1379,outdoor activities coordinator
1380,ensure train stability after loading
1381,apply foreign languages in social services
1382,detect drug abuse
1383,measure materials
1384,allergic cosmetics reactions
1385,celestial navigation
1386,leather chemistry
1387,set production facilities standards
1388,wash vehicles
1389,care at home worker
1390,bakery ingredients
1391,footwear equipments
1392,forecast energy prices
1393,personal protective equipment
1394,control delivered waste
1395,office software
1396,educate public on fire safety
1397,execute disease and pest control activities
1398,mix spirit flavourings according to recipe
1399,carry out work related calculations in agriculture
1400,sell products
1401,protect trees
1402,teach law enforcement principles
1403,collect weather-related data
1404,identify indicators of problem gambling
1405,negotiate employment agreements
1406,type of file
1407,ensure consistency of translation works in multiple target languages
1408,service rooms
1409,exercise stewardship
1410,metal drawing processes
1411,relaxation techniques
1412,evaluate translation technologies
1413,modify textile designs
1414,plan marketing strategy
1415,make abstracts
1416,music producer
1417,military logistics
1418,operate radar equipment
1419,inform on the risks of substance and alcohol abuse
1420,implement marketing strategies
1421,use global distribution system
1422,get involved in the day-to-day operation of the company
1423,assess quality of services
1424,Ruby
1425,restock toilet facilities' supplies
1426,cosmetics industry
1427,lottery manager
1428,check train engines
1429,manage distribution channels
1430,corporate social responsibility
1431,inspect insects in whole grain
1432,heed the altering anodising properties
1433,promote cultural venue events
1434,identify suppliers
1435,support managers
1436,run errands on behalf of customers
1437,apply intercultural teaching strategies
1438,exert a goal-oriented leadership role towards colleagues
1439,identify preventive actions
1440,teach energy principles
1441,manage accounts
1442,stay alert
1443,follow a brief
1444,maintain professional administration
1445,support ICT system users
1446,manage budgets
1447,interpret tramway traffic signs
1448,perform market research
1449,spirits development
1450,conduct environmental surveys
1451,Prolog
1452,gather feedback from employees
1453,advise on efficiency improvements
1454,deal with emergency care situations
1455,assess sound quality
1456,maritime instructor
1457,assess the compatibility of individuals and animals to work together
1458,animal transport regulations
1459,use caulking tools
1460,tend hot extrusion machine
1461,evaluate events
1462,manage production of destination promotional materials
1463,load cargo onto ships
1464,flammable fluids
1465,combination of flavours
1466,assist in children's development of basic personal skills
1467,microwave principles
1468,follow signalling instructions
1469,analyse call performance trends
1470,cold winding
1471,monitor composting
1472,advise customers on types of flowers
1473,manage chemical testing procedures
1474,build scaffolding
1475,understand budgetary limits
1476,maintain mechanical equipment
1477,ensure information transparency
1478,treat wood
1479,coordinate electricity generation
1480,pre-stitching processes and techniques for footwear and leather goods
1481,risk management
1482,disability care
1483,analyse financial performance of a company
1484,document safety actions
1485,schedule recreation facilities
1486,plan social service process
1487,identify policy breach
1488,detain offenders
1489,implement strategic planning
1490,types of barley
1491,enhance production workflow
1492,insourcing strategy
1493,food service operations
1494,cut metal products
1495,provide information to passengers
1496,train dealers
1497,loading charts for transportation of goods
1498,interpret electrical diagrams
1499,assembling processes and techniques for california footwear construction
1500,MATLAB
1501,work in a construction team
1502,stand high temperatures
1503,manufacturing of steam generators
1504,organise operations of residential care services
1505,deburring processes
1506,set up crane
1507,operate cranes
1508,supervise loading of cargo
1509,promote environmental awareness
1510,perform kiln maintenance
1511,fire prevention procedures
1512,apply brazing techniques
1513,ICT software specifications
1514,react calmly in stressful situations
1515,medical devices
1516,perform services in a flexible manner
1517,recognise indicators of problem betting
1518,use furniture dust removing tools
1519,show responsibility
1520,set up the controller of a machine
1521,business processes
1522,footwear assembly supervisor
1523,adapt to different weather conditions
1524,interpret geometric dimensions and tolerances
1525,building automation
1526,teach corporate skills
1527,convert different audiovisual formats
1528,industrial tools
1529,plan artistic production activities
1530,production processes
1531,behavioural science
1532,types of maritime vessels
1533,geriatrics
1534,train staff in quality procedures
1535,textile industry
1536,inform clients of healthy lifestyle benefits
1537,establish educational network
1538,security manager
1539,compile data for navigation publications
1540,applied zoology
1541,cultural history
1542,research new cooking methods
1543,conduct field work
1544,provide advice to technicians
1545,adapt production levels
1546,pronunciation techniques
1547,leather goods materials
1548,track key performance indicators
1549,consult with editor
1550,promote financial products
1551,apply scientific methods
1552,shunt rolling stock in marshalling yards
1553,tend wire weaving machine
1554,copyright legislation
1555,practice emergency stops
1556,graphic design
1557,shape sheet metal objects
1558,study acquisition of language
1559,coordinate assembling room in footwear manufacturing
1560,manage theft prevention
1561,react to events in time-critical environments
1562,maintain landscape site
1563,follow written instructions
1564,greenhouse types
1565,identify necessary human resources
1566,operate forestry machinery
1567,operate metal polishing equipment
1568,write work-related reports
1569,develop licensing agreements
1570,promote human rights
1571,environmental education officer
1572,prepare flower arrangements
1573,attend to detail in casting processes
1574,ensure safety of exercise environment
1575,liaise with financiers
1576,develop strategies for electricity contingencies
1577,promote recreation activities
1578,develop business plans
1579,tourism policy director
1580,educate public on road safety
1581,perform defensive driving
1582,maintain forestry equipment
1583,risks associated with undertaking fishing operations
1584,operate radio equipment
1585,support social service users' positiveness
1586,advise on machine maintenance
1587,management department processes
1588,operate an emergency communication system
1589,heat metals
1590,vessel stability principles
1591,replace die
1592,hot winding
1593,use a computer
1594,developmental psychology
1595,manage the security team
1596,consult with production director
1597,social security administrator
1598,mobile marketing
1599,reproduce documents
1600,review insurance process
1601,operate dishwashing machine
1602,drive in urban areas
1603,Common Lisp
1604,precision mechanics supervisor
1605,analyse work-related written reports
1606,propose ICT solutions to business problems
1607,maintain linen operation
1608,prepare broadcasts
1609,order electrical supplies
1610,restore trays
1611,health and safety in the workplace
1612,analyse scientific data
1613,cleaning industry health and safety measures
1614,monitor coating specifications
1615,build community relations
1616,sort waste
1617,company policies
1618,food storage
1619,driving examinations
1620,material mechanics
1621,grow plants
1622,rail infrastructure
1623,provide care for horses
1624,consultation
1625,bake pastry for special events
1626,leather goods components
1627,proofread text
1628,measure the strength of distillation
1629,monitor traffic flow
1630,agricultural business management
1631,implement risk management for outdoors
1632,principles of mechanical engineering
1633,surveillance radars
1634,demonstrate professional attitude to clients
1635,ensure soil fertility
1636,unseen translation
1637,assess waste type
1638,electrical machines
1639,operate 3D computer graphics software
1640,load materials into furnace
1641,manufacturing of cutlery
1642,write routine reports
1643,meet productivity targets
1644,teach writing
1645,supervise work
1646,adapt teaching to target group
1647,operate audio equipment
1648,maximise efficiency of crane operations
1649,prepare ground for construction
1650,visual presentation techniques
1651,interpret electronic design specifications
1652,support social service users with specific communication needs
1653,perform ground maintenance activities
1654,apply smithing techniques
1655,integrate exercise science to the design of the programme
1656,manage gambling operation
1657,maintain gardening equipment
1658,communicate production plan
1659,maintain electrical equipment
1660,alter management
1661,assist in military logistics
1662,fabric types
1663,evacuate people from buildings
1664,hairdressing
1665,leadership principles
1666,define security policies
1667,manage maintenance operations
1668,APL
1669,manage lottery operations
1670,operate marine communication systems
1671,execute fertilisation
1672,vessel electrical system
1673,transfer coffins
1674,manufacture of electrical wire products
1675,provide fertilizer recommendation for flowers
1676,deal with public
1677,demonstrate when teaching
1678,perform sight translation
1679,calculate production costs
1680,prepare for job interview
1681,musical instruments
1682,read scripts
1683,SAP R3
1684,install construction profiles
1685,produce customised products
1686,tend surface grinding machine
1687,estimate duration of work
1688,show consideration for student's situation
1689,maintain records of financial transactions
1690,work with pre-production team
1691,information confidentiality
1692,manage kiln ventilation
1693,use chemical analysis equipment
1694,handle personal identifiable information
1695,multimodal transport logistics
1696,instruct in outdoor activities
1697,zoo educator
1698,European Train Control System
1699,read assembly drawings
1700,precision mechanics
1701,maintain equipment
1702,manage cleaning activities
1703,advise on tax policy
1704,control financial resources
1705,prepare survey report
1706,camping ground operative
1707,systems development life-cycle
1708,types of pulp
1709,operate automatic cutting systems for footwear and leather goods
1710,maintain railway signal equipment
1711,learning difficulties
1712,barbering techniques
1713,apply a holistic approach in care
1714,organisational structure
1715,chemistry
1716,social sciences
1717,coordinate closing room in footwear manufacturing
1718,facilitate job market access
1719,style hair
1720,government policy implementation
1721,manufacture nonwoven staple products
1722,build fences
1723,strategies for handling cases of elder abuse
1724,execute analytical mathematical calculations
1725,handwriting analysis
1726,supervise store opening and closing procedures
1727,process booking
1728,prepare chemical samples
1729,plant species
1730,journalism
1731,furniture industry
1732,ensure health and safety in manufacturing
1733,spot metal imperfections
1734,maintain vehicle delivery documentation
1735,telecommunications engineering
1736,transportation methods
1737,serve beverages
1738,use traditional carpet making techniques
1739,inspect crane equipment
1740,communicate with social service users
1741,ensure proper document management
1742,consult students on learning content
1743,provide user documentation
1744,remove rust from motor vehicles
1745,define technical requirements
1746,perform detailed food processing operations
1747,provide lawn care
1748,train guides
1749,adjust manufacturing equipment
1750,survive at sea in the event of ship abandonment
1751,follow given instructions
1752,manage project metrics
1753,electroplating machine parts
1754,work independently in service of a food production process
1755,food preservation
1756,data quality assessment
1757,perform public relations
1758,coordinate events
1759,use CAM software
1760,manage payroll reports
1761,advise on insurance policies
1762,check material rescources
1763,monitor plant production
1764,biomechanics of sport performance
1765,operate private branch exchange
1766,prepare market research reports
1767,ensure quality control in packaging
1768,Pilates teacher
1769,manage agri-tourism activites
1770,ripening of cheese
1771,plan sports areas
1772,plastic resins
1773,prepare planting area
1774,survey techniques
1775,leather goods quality
1776,business intelligence
1777,research outdoor activities
1778,locking mechanisms
1779,bookkeeping regulations
1780,use food cutting tools
1781,manage factory operations
1782,tend computer numerical control lathe machine
1783,manage flammable substances
1784,apply precision metalworking techniques
1785,disinfect surfaces
1786,ensure compliance with company regulations
1787,keep inventory of goods in production
1788,manual cutting processes for leather
1789,dispose waste
1790,present the farm facilities
1791,issue sales invoices
1792,store crops
1793,rectify spirits
1794,apply person-centred care
1795,inspire enthusiasm for nature
1796,sand blasting machine parts
1797,keep up with innovations in food manufacturing
1798,sterilization techniques
1799,read zoo reports
1800,make the beds
1801,manage troop deployment
1802,edit recorded sound
1803,describe scenes
1804,speak different languages
1805,provide visitor information
1806,use dairy test materials
1807,maintain working relationships
1808,nurse plants
1809,business strategy concepts
1810,use measurement instruments
1811,industrial cook
1812,ensure compliance with legal requirements
1813,environmental policy
1814,assemble metal parts
1815,draw up artistic production
1816,search for a suitable location
1817,drive two-wheeled vehicles
1818,carry out pressure washing activities
1819,perform data analysis
1820,food safety principles
1821,record multi-track sound
1822,plan buildings maintenance work
1823,apply numeracy skills
1824,liaise with advertising agencies
1825,have spatial awareness
1826,calculate insurance rate
1827,organise product display
1828,operate weighing machine
1829,Code of Conduct for Responsible Fisheries
1830,analyse characteristics of food products at reception
1831,show an exemplary leading role in an organisation
1832,flight attendant
1833,speak about your work in public
1834,plant harvest methods
1835,ensure safe transport of money
1836,protect client interests
1837,take room service orders
1838,measure electrical characteristics
1839,analyse environmental data
1840,smoothen rough jewel parts
1841,carry out active selling
1842,provide nutrition to animals
1843,3D modelling
1844,ensure regulatory compliance concerning distribution activities
1845,administer ingredients in food production
1846,apply proofing membranes
1847,use customer relationship management software
1848,tend tube drawing machine
1849,attend to children's basic physical needs
1850,vessel fuels
1851,inspect electrical supplies
1852,cast jewellery metal
1853,instruct public
1854,inspect vessel
1855,avoid contamination
1856,perform military operations
1857,inspect contracts for related grounds maintenance work
1858,manufacture non-woven filament products
1859,synthetic materials
1860,linguistics
1861,study prices of wood products
1862,military code
1863,manage ICT semantic integration
1864,hygiene in a health care setting
1865,footwear bottoms pre-assembly
1866,snow removal safety hazards
1867,lift heavy weights
1868,temperature scales
1869,maintain safe engineering watches
1870,assist in the movement of heavy loads
1871,fuel gas
1872,use culinary finishing techniques
1873,install insulation material
1874,print studio supervisor
1875,freight transport methods
1876,protect important clients
1877,maintain sorting equipment
1878,read pre-drafted texts
1879,water chemistry analysis
1880,digital compositing
1881,structure information
1882,sporting events
1883,evaluate broadcast programs
1884,operations department processes
1885,perform minor repairs to equipment
1886,coil metal
1887,maintain pool cleanliness
1888,prepare dairy products for use in a dish
1889,distribute pensions
1890,perform maintenance on locomotives
1891,dipping tank types
1892,give advice on the matching of food with wine
1893,manage artistic career
1894,ensure efficient communication in air traffic services
1895,manufacturing of heating equipment
1896,operate hot glue gun
1897,assess financial viability
1898,Objective-C
1899,maintain customer service
1900,measure flatness of a surface
1901,manage online gambling
1902,interview bank loanees
1903,maintain records of phone calls
1904,assist clients with special needs
1905,assist employee health programmes
1906,oversee planning of security systems
1907,Perl
1908,provide ICT consulting advice
1909,pack goods
1910,mechanical engineering
1911,implement short term objectives
1912,develop terminology databases
1913,check quality of raw materials
1914,provide secured transportation
1915,effects of pesticides in food raw materials
1916,wood preservation
1917,integrate community outreach
1918,consult with business clients
1919,textile measurement
1920,apply rubber sealant
1921,prepare surface for painting
1922,operate metal heating equipment
1923,direct the preparation of food
1924,theories of personality
1925,assist disable passengers
1926,coordinate finishing room in footwear manufacturing
1927,apply different dehydration processes of fruits and vegetables
1928,manage backlogs
1929,assist children with homework
1930,promote fitness customer referral
1931,identify undetected organisational needs
1932,create new landscape designs
1933,tend cold rolling mill
1934,characteristics of products
1935,carry out stock rotation
1936,check processing parameters
1937,vehicle electrical systems
1938,cast concrete sections
1939,chemical technologies in metal manufacture
1940,test the braking force of trains
1941,operate welding equipment
1942,report on production results
1943,sell cosmetics
1944,maintain concentration for long periods
1945,challenging issues in the textile industry
1946,mitigate waste of resources
1947,report on possible hazards
1948,manage revenue
1949,supervise deposit slips
1950,measure precise food processing operations
1951,assembling processes and techniques for goodyear footwear construction
1952,galvanise metal workpiece
1953,operate recycling processing equipment
1954,report defective manufacturing materials
1955,court procedures
1956,use shorthand
1957,advise on mental health
1958,manipulate metal
1959,use rigging tools
1960,operate call distribution system
1961,handle glassware
1962,assist landscape projects
1963,follow ethical code of conduct in transport services
1964,implement fundamentals of nursing
1965,apply footwear bottoms pre-assembling techniques
1966,set payment handling strategies
1967,apply foreign language for international trade
1968,oversee promotional sales prices
1969,rhetoric
1970,assess railway operations
1971,set hygiene standards
1972,assume responsibility for the management of a business
1973,contact customers
1974,maintenance and repair
1975,prevent social problems
1976,cylindrical grinder parts
1977,handle fragile items
1978,encourage teams for continuous improvement
1979,military weaponry
1980,wood factory manager
1981,provide non-surgical treatment in cosmetic procedures
1982,operate landscaping equipment
1983,execute working instructions
1984,origin of dietary fats and oils
1985,develop technical glossaries
1986,printed circuit boards testing methods
1987,write situation reports
1988,place drywall
1989,manipulate glass
1990,sport therapist
1991,train staff in navigational requirements
1992,provide emergency supplies
1993,provide improvement strategies
1994,tend dip tank
1995,promote sustainability
1996,operate automated process control
1997,monitor ingredient storage
1998,construction products
1999,show intercultural awareness
2000,phonetics
2001,handle residual gases
2002,agricultural chemicals
2003,mathematics
2004,ensure health and safety of visitors
2005,advise on strengthening security
2006,lead inspections
2007,cast concrete rings
2008,Global Maritime Distress and Safety System
2009,apply organisational techniques
2010,footwear production supervisor
2011,prepare pasta
2012,repair optical equipment
2013,smooth burred surfaces
2014,inform customers of activity changes
2015,conduct water navigation
2016,clinical microbiology
2017,tend spring making machine
2018,cultural projects
2019,implement customer follow-up
2020,comprehend the material to be translated
2021,adjust weight of cargo to capacity of freight transport vehicles
2022,reverse engineering
2023,monitor train schedules
2024,business administration vocational teacher
2025,use authentic crafting techniques
2026,design strategies for nuclear emergencies
2027,channel marketing
2028,manage cash transportation
2029,analyse packaging requirements
2030,survival instructor
2031,advise customers on usage of cosmetics
2032,analyse the context of an organisation
2033,electrical power safety regulations
2034,follow recycling collection schedules
2035,flood remediation equipment
2036,footwear materials
2037,electronics principles
2038,comply with food safety and hygiene
2039,tend to passenger belongings
2040,trends in fashion
2041,financial statements
2042,accommodate cargo in freight transport vehicle
2043,lacquer wood surfaces
2044,assess ergonomics of the workplace
2045,restrain individuals
2046,deliver business research proposals
2047,use warp knitting technologies
2048,apply foreign languages in tourism
2049,firefighter instructor
2050,advise on conflict management
2051,apply spraying techniques
2052,ensure rail tracks remain clear
2053,inspect hazardous freight in accordance with regulations
2054,manufacturing of door furniture from metal
2055,ensure protection of car parking
2056,agritourism
2057,prepare furniture for application of paint
2058,enzymatic processing
2059,manage import export licenses
2060,improve translated texts
2061,measure metal to be heated
2062,adapt to changing situations
2063,apply statistical analysis techniques
2064,compass navigation
2065,wood caulking processes
2066,manage personnel
2067,provide private transport services
2068,manage tests
2069,involve volunteers
2070,identify terrorism threats
2071,deterioration of fish products
2072,organise rehearsals
2073,VBScript
2074,identify nutritional properties of food
2075,teach fire fighting principles
2076,analyse gambling data
2077,put uncut recordings into computer
2078,manage recreational facility
2079,check carriages
2080,define organisational standards
2081,order optical supplies
2082,work with playwrights
2083,apply chromate conversion coating to a metal workpiece
2084,prepare leather goods samples
2085,conduct research interview
2086,international regulations for preventing collisions at sea
2087,analyse foreign affairs policies
2088,manage sport facility finances
2089,establish communication with foreign cultures
2090,apply flame handling regulations
2091,shape corporate culture
2092,conduct reforestation surveys
2093,bodily fluid analysis
2094,Scratch
2095,illegal substances
2096,foster care support worker
2097,use communication devices
2098,use agricultural information systems and databases
2099,first aid
2100,process payments
2101,oversee pre-assembly operations
2102,maintain records of work with service users
2103,carry out auditions
2104,write technical reports
2105,industrial design
2106,train military troops
2107,ICT project management methodologies
2108,manufacturing of metal structures
2109,monitor electroplating baths
2110,monitor regulations in social services
2111,types of plastering materials
2112,supervise movement of passengers
2113,assess supplier risks
2114,defense system
2115,types of packaging materials
2116,disassemble equipment
2117,handle conflicts
2118,outdoor activities
2119,communicate reports provided by passengers
2120,control textile process
2121,craft ornamental plastering
2122,ensure integrity of hull
2123,manage human resources
2124,spa products
2125,create training materials
2126,mark a metal workpiece using punch
2127,evaluate clients' progress
2128,ensure products meet regulatory requirements
2129,read stowage plans
2130,home decoration techniques
2131,provide professional care in nursing
2132,perform routine maintenance on railway engines
2133,transfer patients
2134,write signalling reports
2135,total quality control
2136,evaluate textile characteristics
2137,create jewellery
2138,food science
2139,supervise event staff
2140,monitor forest productivity
2141,analyse business objectives
2142,prepare mixed beverages
2143,follow betting strategies
2144,advise on public relations
2145,agricultural production principles
2146,measure water quality parameters
2147,work in outdoor conditions
2148,maintain privacy of service users
2149,provide financial product information
2150,accounting department processes
2151,comply with legislation in social services
2152,advocate for social service users
2153,communicate problems to senior colleagues
2154,manage social crisis
2155,ensure proper water storage
2156,install electronic communication equipment
2157,test optical components
2158,engine components
2159,operate forestry equipment
2160,occupational driving instructor
2161,provide information on education financing
2162,manage emergency procedures
2163,install containers
2164,carry out statistical forecasts
2165,communicate in English in a competent way
2166,operate forklift
2167,metal polishing machine parts
2168,monitor programming
2169,leather finishing technologies
2170,traffic signs
2171,perform cleaning activities in an outdoor environment
2172,rescue bathers
2173,manage production enterprise
2174,develop standard operating procedures in the food chain
2175,use personal protection equipment
2176,monitor operations of cleaning machines
2177,malt grains
2178,guarantee customer satisfaction
2179,do historical research
2180,zoo regulations
2181,promote organisational communication
2182,swimming pool safety guidelines
2183,work in metal manufacture teams
2184,tend metal polishing machine
2185,repair electronic components
2186,ensure finished product meet requirements
2187,spray finishing technology
2188,Assertiveness
2189,apply GMP
2190,transcribe dialogues
2191,answer questions about the train transport service
2192,detect rail track malfunctions
2193,inspect data
2194,prepare lifeboats
2195,ensure equipment maintenance
2196,prepare sandwiches
2197,translate tags
2198,laboratory techniques
2199,psychology
2200,residential home older adult care worker
2201,harvest crop
2202,develop financial statistics reports
2203,process reservations
2204,communicate schedules to the people concerned
2205,marketing department processes
2206,mechanics of vessels
2207,follow ethical code of conduct in tourism
2208,deliver outstanding service
2209,execute administration
2210,business and marketing vocational teacher
2211,types of metal
2212,wood products
2213,ensure compliance with environmental legislation
2214,respond to customers' inquiries
2215,record production data
2216,manage military logistics
2217,inform on water supply
2218,Swift
2219,organise facility activities
2220,investigate customer complaints
2221,evaluate prospective foster parents
2222,follow health and safety procedures in construction
2223,advise on animal purchase
2224,manage physical resources
2225,give battle commands
2226,gather data
2227,legal terminology
2228,manage disaster recovery plans
2229,teach transport technology principles
2230,perform weed control operations
2231,military drill
2232,monitor temperature in manufacturing process of food and beverages
2233,semantics
2234,collect items for laundry service
2235,install stretch ceiling
2236,tend CNC metal punch press
2237,ASP.NET
2238,patents
2239,support individuals to adjust to physical disability
2240,quality and cycle time optimisation
2241,carry out forestry related measurements
2242,ecological principles
2243,composition of diets
2244,monitor milk production deviations
2245,communicate with banking professionals
2246,provide customer follow-up services
2247,electrolytic passivation process
2248,negotiate improvement with suppliers
2249,vessel safety equipment
2250,train operating procedures
2251,history of chocolate
2252,Synfig
2253,demonstrate professional Pilates attitude
2254,gambling manager
2255,follow an ethical code of conduct for translation activities
2256,implement strategic management
2257,family support worker
2258,video and motion picture producer
2259,act discreetly
2260,deliver social services in diverse cultural communities
2261,blast masonry
2262,create script for artistic production
2263,parts of a surface grinding machine
2264,pest control in plants
2265,cooperate in linguistic process steps
2266,principles of landscape construction
2267,manage children's problems
2268,coordinate artistic production
2269,public health
2270,tend packaging machines
2271,monitor legislation developments
2272,analyse financial risk
2273,play with children
2274,biological haematology
2275,control minor maintenance
2276,handle financial disputes
2277,food service vocational teacher
2278,international import export regulations
2279,perform maintenance on installed equipment
2280,perform pest control
2281,manage space utilisation
2282,maintain operational standards
2283,ensure cost efficiency in food manufacturing
2284,grade coffee beans
2285,assist passenger embarkation
2286,use computer telephony integration
2287,animal acquisition
2288,advise on financial matters
2289,quality standards
2290,teach design and applied arts principles
2291,assist scientific research
2292,oversee logistics of finished products
2293,work in a landscape team
2294,maintain safety systems
2295,handle delivered packages
2296,chemical aspects of chocolates
2297,provide humanitarian aid
2298,prepare floor for terrazzo
2299,dairy manufacturing specifications
2300,electrical discharge
2301,attend to fitness clients under controlled health conditions
2302,metal production supervisor
2303,radiation protection
2304,maintain students' discipline
2305,work in an organised manner
2306,ensure correct use of bakery equipment
2307,operate mobile crane
2308,diving operation requirements
2309,maintain storage facilities
2310,follow hygienic procedures during food processing
2311,financial capability
2312,sign language
2313,create safe working protocols
2314,monitor automated machines
2315,types of wire mesh
2316,undertake inspections
2317,maintain plant soil nutrition
2318,park vehicles
2319,assemble visitor supplies
2320,promote human rights implementation
2321,distinguish various types of ships
2322,consult technical resources
2323,apply footwear finishing techniques
2324,use manual knitting techniques
2325,pollution at sea prevention
2326,develop cultural activities
2327,operate railway control panels
2328,teach marketing principles
2329,communicate test results to other departments
2330,support people with hearing impairment
2331,entertain people
2332,SketchBook Pro
2333,involve service users and carers in care planning
2334,manage challenging work conditions during food processing operations
2335,monitor disposal of radioactive substances
2336,keep up with language evolution
2337,dispose food waste
2338,maintain camping facilities
2339,provide information on school services
2340,manage vault access
2341,on board hazards
2342,perform necessary checks before moving aircraft onto stand
2343,use safety equipment in construction
2344,work according to recipe
2345,align components
2346,examine production samples
2347,manage pension funds
2348,record license plates of violators
2349,welcome tour groups
2350,implement operational business plans
2351,analyse internal factors of companies
2352,types of heat sealing
2353,safely instruct about fitness
2354,install monitors for process control
2355,infection control
2356,develop the product catalogue
2357,perform forest analysis
2358,monitor use of outdoor equipment
2359,spelling
2360,politics
2361,provide emotional support to the bereaved
2362,manage sound quality
2363,use session border controller
2364,blasting abrasives
2365,wax wood surfaces
2366,use sheet metal shears
2367,advise on construction materials
2368,oversee the facilities services budget
2369,adjust the work during the creative process
2370,sensors
2371,use cooking techniques
2372,computer equipment
2373,manage logistics
2374,cosmetics ingredients
2375,prescribe exercises
2376,check quality of products on the production line
2377,green space strategies
2378,issue fines
2379,business process modelling
2380,accounting techniques
2381,deliver presentations on tourism
2382,unload cargo
2383,government policy
2384,footwear stitching techniques
2385,apply socially just working principles
2386,supervise waste disposal
2387,develop employee retention programs
2388,manage government policy implementation
2389,respect cultural preferences
2390,nuclear legislation
2391,musical theory
2392,take artistic vision into account
2393,escort visitors to places of interest
2394,ensure regulatory compliance in pipeline infrastructures
2395,leather products maintenance
2396,demography
2397,create moving images
2398,apply first response
2399,conduct financial surveys
2400,monitor chemical process condition
2401,reprography
2402,test railway signalling equipment
2403,work analytically
2404,work with different target groups
2405,measure trees
2406,demonstrate games
2407,analyse goal progress
2408,physical parts of the vessel
2409,clean vehicle interiors
2410,operate a heat treatment process
2411,managing a business with great care
2412,disability types
2413,horse riding equipment
2414,hammer cotton and oakum into seams
2415,organisational policies
2416,types of containers
2417,identify the factors causing changes in food during storage
2418,work as a team in a hazardous environment
2419,test chemical samples
2420,plant propagation
2421,disability support worker
2422,maintain agricultural machinery
2423,keep updated on the political landscape
2424,promote social change
2425,types of optical instruments
2426,bake confections
2427,teach tourism principles
2428,check passenger tickets
2429,conduct on board safety inspections
2430,common aviation safety regulations
2431,use IT tools
2432,supervise food quality
2433,synthesise financial information
2434,dismantle broken appliances
2435,possess visual literacy
2436,assess groundwater environmental impact
2437,adapt teaching to student's capabilities
2438,manage quality of leather throughout the production process
2439,report on customers' complaints related to toilet facilities
2440,operate train signalling equipment
2441,coordinate public-private partnerships in tourism
2442,coordinate operational activities
2443,manage outsourced security
2444,ensure compliance with shipment regulations
2445,identify risk of flooding
2446,monitor packaging operations
2447,monitor developments in field of expertise
2448,negotiate exploitation rights
2449,tram network
2450,manage ethical issues within social services
2451,determine authorship of documents
2452,evaluate benefit plans
2453,transcreation
2454,develop new food products
2455,hazardous freight regulations
2456,carry out energy management of facilities
2457,keep heavy construction equipment in good condition
2458,set up pricing strategies
2459,promote cultural venue in schools
2460,perform minor repairs to buildings' systems
2461,follow interpreting quality standards
2462,monitor stock level
2463,integrated circuits
2464,coordinate rehearsals
2465,examine credit ratings
2466,"agricultural raw materials, seeds and animal feed products"
2467,bakery production methods
2468,solder electronics
2469,supervise horticultural crews
2470,metal hot rolling technology
2471,care for horses
2472,advise customers on wood products
2473,review meteorological forecast data
2474,participate in tourism events
2475,investigate social security applications
2476,type texts from audio sources
2477,types of sawing blades
2478,manage government funding
2479,instruct in military duties
2480,exert quality control to processing food
2481,manage supplies
2482,parts of metal rolling mill
2483,Visual Studio .NET
2484,manage cultural facility
2485,align efforts towards business development
2486,follow work schedule
